algorithm,size,mean_time,std_time,best_time,worst_time,mean_memory,std_memory,mean_expansions_inferences,std_expansions_inferences,success_rate
forward_chaining,4x4,0.12707067001610994,0.015281257811573263,0.10934610012918711,0.1570405000820756,12.68359375,2.266266498337847,36,9.090191359227177,1.0
backward_chaining,4x4,0.10242066998034716,0.005694558520155227,0.09579809987917542,0.1152886999770999,66.825927734375,2.8813169008865844,1084,784.0465211761488,1.0
a_star,4x4,0.146030009991955,0.01872902021057387,0.10943459998816252,0.18514829990454018,51.560546875,0.8428886433939051,14,1.9194297398747862,1.0
backtracking,4x4,0.08942798500647768,0.013453292605218098,0.07604809990152717,0.12747709988616407,3.427734375,0.45212340385897193,129.75,74.57731770310242,1.0
brute_force,4x4,0.09173244500998408,0.003561828469821097,0.08648569998331368,0.10046490002423525,2.560546875,0.42240672965887033,233.75,215.90857592484542,1.0
forward_chaining,5x5,0.16495144001673906,0.038433694982773436,0.12039619986899197,0.22240960015915334,39.31875,17.639602764249254,70.55,7.863807836170117,1.0
backward_chaining,5x5,0.2761376399663277,0.1566951325681287,0.09753719996660948,0.5144968999084085,173.355126953125,18.671892492726727,37072.5,32395.227479075565,1.0
a_star,5x5,0.2947382199694403,0.04705631891760774,0.21161750005558133,0.36853490001522005,108.281640625,2.672203776853636,21.6,3.858006029844405,1.0
backtracking,5x5,0.12818237497704105,0.03696116303231348,0.07780499989166856,0.18132139998488128,5.378515625,1.0242939585077342,663.5,443.55733030033207,1.0
brute_force,5x5,0.12319259500363841,0.03534716503671458,0.0881859001237899,0.18257599999196827,3.810546875,0.5613673892866623,5798,5945.909801571249,1.0